# volk-harness-report v2
kernel,impl,mode,result,failed_vlens,max_err
volk_16ic_x2_dot_prod_16ic,a_avx2,immutable,ok,,
volk_16ic_x2_dot_prod_16ic,a_sse2,immutable,ok,,
volk_16ic_x2_dot_prod_16ic,generic,immutable,ok,,
volk_16ic_x2_dot_prod_16ic,u_avx2,immutable,ok,,
volk_16ic_x2_dot_prod_16ic,u_sse2,immutable,ok,,
volk_16ic_x2_dot_prod_16ic,a_avx2,impl,ok,,0
volk_16ic_x2_dot_prod_16ic,a_sse2,impl,ok,,0
volk_16ic_x2_dot_prod_16ic,generic,impl,ok,,0
volk_16ic_x2_dot_prod_16ic,u_avx2,impl,ok,,0
volk_16ic_x2_dot_prod_16ic,u_sse2,impl,ok,,0
volk_16ic_x2_dot_prod_16ic,generic,misaligned,ok,,
volk_16ic_x2_dot_prod_16ic,u_avx2,misaligned,ok,,
volk_16ic_x2_dot_prod_16ic,u_sse2,misaligned,ok,,
volk_16ic_x2_multiply_16ic,a_avx2,canary,ok,,
volk_16ic_x2_multiply_16ic,a_sse2,canary,ok,,
volk_16ic_x2_multiply_16ic,generic,canary,ok,,
volk_16ic_x2_multiply_16ic,u_avx2,canary,ok,,
volk_16ic_x2_multiply_16ic,u_sse2,canary,ok,,
volk_16ic_x2_multiply_16ic,a_avx2,immutable,ok,,
volk_16ic_x2_multiply_16ic,a_sse2,immutable,ok,,
volk_16ic_x2_multiply_16ic,generic,immutable,ok,,
volk_16ic_x2_multiply_16ic,u_avx2,immutable,ok,,
volk_16ic_x2_multiply_16ic,u_sse2,immutable,ok,,
volk_16ic_x2_multiply_16ic,a_avx2,impl,ok,,0
volk_16ic_x2_multiply_16ic,a_sse2,impl,ok,,0
volk_16ic_x2_multiply_16ic,generic,impl,ok,,0
volk_16ic_x2_multiply_16ic,u_avx2,impl,ok,,0
volk_16ic_x2_multiply_16ic,u_sse2,impl,ok,,0
volk_16ic_x2_multiply_16ic,generic,misaligned,ok,,
volk_16ic_x2_multiply_16ic,u_avx2,misaligned,ok,,
volk_16ic_x2_multiply_16ic,u_sse2,misaligned,ok,,
volk_16u_byteswap,-,canary,skip,no-qa-entry,
volk_16u_byteswap,-,immutable,skip,no-qa-entry,
volk_16u_byteswap,-,misaligned,skip,no-qa-entry,
volk_16u_byteswap,-,sweep,skip,no-qa-entry,
volk_16u_byteswappuppet_16u,-,canary,skip,,
volk_16u_byteswappuppet_16u,-,immutable,skip,,
volk_16u_byteswappuppet_16u,a_avx2,impl,ok,,0
volk_16u_byteswappuppet_16u,a_sse2,impl,ok,,0
volk_16u_byteswappuppet_16u,generic,impl,ok,,0
volk_16u_byteswappuppet_16u,u_avx2,impl,ok,,0
volk_16u_byteswappuppet_16u,u_orc,impl,ok,,0
volk_16u_byteswappuppet_16u,u_sse2,impl,ok,,0
volk_16u_byteswappuppet_16u,-,misaligned,skip,,
volk_16u_x2_add_saturated_16u,a_avx2,canary,ok,,
volk_16u_x2_add_saturated_16u,a_avx512bw,canary,ok,,
volk_16u_x2_add_saturated_16u,a_sse2,canary,ok,,
volk_16u_x2_add_saturated_16u,generic,canary,ok,,
volk_16u_x2_add_saturated_16u,u_avx2,canary,ok,,
volk_16u_x2_add_saturated_16u,u_avx512bw,canary,ok,,
volk_16u_x2_add_saturated_16u,u_sse2,canary,ok,,
volk_16u_x2_add_saturated_16u,a_avx2,immutable,ok,,
volk_16u_x2_add_saturated_16u,a_avx512bw,immutable,ok,,
volk_16u_x2_add_saturated_16u,a_sse2,immutable,ok,,
volk_16u_x2_add_saturated_16u,generic,immutable,ok,,
volk_16u_x2_add_saturated_16u,u_avx2,immutable,ok,,
volk_16u_x2_add_saturated_16u,u_avx512bw,immutable,ok,,
volk_16u_x2_add_saturated_16u,u_sse2,immutable,ok,,
volk_16u_x2_add_saturated_16u,a_avx2,impl,ok,,0
volk_16u_x2_add_saturated_16u,a_avx512bw,impl,ok,,0
volk_16u_x2_add_saturated_16u,a_sse2,impl,ok,,0
volk_16u_x2_add_saturated_16u,generic,impl,ok,,0
volk_16u_x2_add_saturated_16u,u_avx2,impl,ok,,0
volk_16u_x2_add_saturated_16u,u_avx512bw,impl,ok,,0
volk_16u_x2_add_saturated_16u,u_sse2,impl,ok,,0
volk_16u_x2_add_saturated_16u,generic,misaligned,ok,,
volk_16u_x2_add_saturated_16u,u_avx2,misaligned,ok,,
volk_16u_x2_add_saturated_16u,u_avx512bw,misaligned,ok,,
volk_16u_x2_add_saturated_16u,u_sse2,misaligned,ok,,
volk_32f_64f_add_64f,a_avx,canary,ok,,
volk_32f_64f_add_64f,generic,canary,ok,,
volk_32f_64f_add_64f,u_avx,canary,ok,,
volk_32f_64f_add_64f,a_avx,immutable,ok,,
volk_32f_64f_add_64f,generic,immutable,ok,,
volk_32f_64f_add_64f,u_avx,immutable,ok,,
volk_32f_64f_add_64f,a_avx,impl,ok,,0
volk_32f_64f_add_64f,generic,impl,ok,,0
volk_32f_64f_add_64f,u_avx,impl,ok,,0
volk_32f_64f_add_64f,generic,misaligned,ok,,
volk_32f_64f_add_64f,u_avx,misaligned,ok,,
volk_32f_64f_multiply_64f,a_avx,canary,ok,,
volk_32f_64f_multiply_64f,generic,canary,ok,,
volk_32f_64f_multiply_64f,u_avx,canary,ok,,
volk_32f_64f_multiply_64f,a_avx,immutable,ok,,
volk_32f_64f_multiply_64f,generic,immutable,ok,,
volk_32f_64f_multiply_64f,u_avx,immutable,ok,,
volk_32f_64f_multiply_64f,a_avx,impl,ok,,0
volk_32f_64f_multiply_64f,generic,impl,ok,,0
